ID1||codigo||descripcion||detalle||plataforma||servidor||base||esquema||tabla||campo||tipo_dato||largo||permite_null||golden_record||usuario_modificacion_detalle||usuario_modificacion_atributo||fecha_modificacion_detalle||fecha_modificacion_atributo
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||BGGRUPO\anl_grazuri||tmp_grp_repre_legal||actividad_economica||VarChar||1200||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||BGGRUPO\anl_jespinoza6||baseline_per_dep||ACTIVIDAD_ECONOMICA||VarChar||250||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BASELINE_BE_AREACOM_PYME||ACTIVIDAD_ECONOMICA||VarChar||5000||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BASELINE_BE_AREACOM_PYME_2||ACTIVIDAD_ECONOMICA||VarChar||-1||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BASELINE_EMP_SALDOS||ACTIVIDAD_ECONOMICA||VarChar||5000||SI||0||0||20234||||2024-01-01
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BG_EXP_SolicitudesLiquidadosAprobados||ActividadEconomica||VarChar||400||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||BG_Persona||actividadEconomica||VarChar||-1||SI||0||0||20234||||2024-03-14
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_BASE_COMERCIOS_CL||ACTIVIDAD_ECONOMICA||VarChar||-1||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TEMP_CasaFacil_Ciac||ACTIVIDAD_ECONOMICA||VarChar||5500||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||tmp_gc_recaudo||ACTIVIDAD_ECONOMICA||nVarChar||-1||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||tmp_grp_bl_empresas_mdp||actividad_economica||VarChar||1200||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||tmp_grp_empresarial||actividad_economica||VarChar||1200||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||SRI_RUC_2023_07||ACTIVIDAD_ECONOMICA||VarChar||1200||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ACTIVIDAD_ECONOMICA||ACTIVIDAD_ECONOMICA||VarChar||2800||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ARPLAF_DAP||ACTIVIDAD_ECONOMICA||VarChar||30||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ATM_MEDIDORES_C_GYE||SRI_ACTIVIDAD_ECONOMICA||VarChar||2800||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ATM_MEDIDORES_C_UIO||SRI_ACTIVIDAD_ECONOMICA||VarChar||2800||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ATM_MEDIDORES_GYE||SRI_ACTIVIDAD_ECONOMICA||VarChar||2800||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ATM_MEDIDORES_UIO||SRI_ACTIVIDAD_ECONOMICA||VarChar||2800||SI||0||0||20234||||2024-05-17
1||9||Actividad económica||Conjunto de procesos o grupo de operaciones realizados para la producción de bienes y/o servicios que generan un valor agregado, de acuerdo a la Clasificación Industrial Internacional Uniforme (CIIU).||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||base_final_temp_jalci||ACTIVIDAD_ECONOMICA||VarChar||5500||SI||0||0||20234||||2024-05-17
