ID1||plataforma||servidor||base||esquema||tabla||descripcion||data_owner||data_steward||fecha_creacion||num_columnas||columnas_documentadas||avance||clasificacion||fecha_Proceso||estado||used_mb
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_EMOB_OCT_JA||||jalvarez||||2024-10-29||2||0||0.0||TRB||2025-05-12||P||27.71
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_REDIMIMOS_SKECHER_JA||||jalvarez||||2024-11-22||9||0||0.0||TRB||2025-05-12||P||30.39
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||BGGRUPO\kllerena||KA11||||kllerena||||2025-03-20||42||0||0.0||TRB||2025-05-12||P||188.81
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||ANALYTICS||RV_E_INC_8_203_APP_MCD_AHORROSMETA||||kllerena||||2024-03-21||15||0||0.0||TRB||2025-05-12||P||0.03
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_RAC_2025_OFI_JA||||jalvarez||||2025-05-07||19||0||0.0||TRB||2025-05-12||P||49.29
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||TB_AUD_SUPERMERCADO_MARZO_EST_JA||||jalvarez||||2025-03-14||82||0||0.0||TRB||2025-05-12||P||237.61
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||DC_AA_PERFILES_COMPLETOS||||kllerena||||2025-04-16||9||0||0.0||TRB||2025-05-12||P||2.14
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||NPS_MK_01_2025||||kllerena||||2025-02-11||30||0||0.0||TRB||2025-05-12||P||70.35
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TBL_CLIENTES_BE_tmpkloor||||kloor||||2025-01-06||1||0||0.0||TMP||2025-05-12||P||0.16
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||calidad_datos_estudio_202110||||||||2021-10-18||16||0||0.0||TRB||2025-05-12||P||100.25
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||DEUDA_CALIFICACION_PREVIA||||||||2024-05-28||5||0||0.0||TRB||2025-05-12||P||354.31
1||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||dbo||INGRESOS_PN_TRABAJO_3||||||||2024-09-03||26||0||0.0||TRB||2025-05-12||P||1601.34
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||SUPERCIAS_INFORMACION_NEGOCIOS_FIDUCIARIOS||||||||2023-02-17||17||1||0.058823||TRB||2025-05-12||P||4.55
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||ATM_TODOS||||||||2020-02-12||13||0||0.0||TRB||2025-05-12||P||0.59
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||dbo||SEG_PERSONAS_DIC_DAF_respaldo||||||||2024-02-21||101||3||0.029702||TRB||2025-05-12||P||3542.02
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||INGRESOS_AVAL||||||||2024-06-06||3||0||0.0||TRB||2025-05-12||P||239.59
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||oceana_20230426||||||||2023-04-26||10||0||0.0||TRB||2025-05-12||P||0.12
1||ANALITICA||GYEINTNEGDB01||DN_STAGING||Visualizacion||TBR_CTATC_ACTIVA||||||||2023-04-04||6||0||0.0||TRB||2025-05-12||P||1.73
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||DEUDA_CONSOLIDA_DICIEMBRE||||||||2022-02-16||2||0||0.0||TRB||2025-05-12||P||77.52
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||MC_CONDICIONADO_ONLINE||||||||2023-03-09||7||1||0.142857||TRB||2025-05-12||P||0.57
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||SCORE_RESILENCIA||||||||2023-03-02||99||2||0.020202||TRB||2025-05-12||P||2421.82
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||SALDOS_DAP||||||||2024-04-10||17||1||0.058823||TRB||2025-05-12||P||0.0
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||CAMPAÑAS_ABRIL_RIESGOS||||||||2021-04-24||24||4||0.166666||TRB||2025-05-12||P||6.34
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||MANUEL||||||||2021-12-08||45||5||0.111111||TRB||2025-05-12||P||1.92
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||CUADRADO_2023||||||||2023-10-17||80||2||0.025||TRB||2025-05-12||P||99.74
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||VTAS_SRI_2016||||||||2019-11-26||14||2||0.142857||TRB||2025-05-12||P||104.45
1||ANALITICA||GYEINTNEGDB01||CAMPAÑAS||PRODUCCION||FLUJO_APROBACION_GENERAL||||||||2023-03-09||43||4||0.093023||TRB||2025-05-12||P||0.0
1||ANALITICA||GYEINTNEGDB01||STAGING||dbo||CATALOGO_PRODUCTOS_FINANCIERO||||||||2023-05-09||5||0||0.0||TRB||2025-05-12||P||0.02
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||jch_tmp_calificacion_pro_20231206||||||||2023-12-06||68||3||0.044117||TMP||2025-05-12||P||0.05
1||ANALITICA||GYEINTNEGDB01||LakeHouse||dbo||bg_tb_heap_formularios||||||||2025-01-29||3||0||0.0||TRB||2025-05-12||P||0.48
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||RESCA_TC||||||||2023-02-09||6||0||0.0||TRB||2025-05-12||P||0.1
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||CON_FOTO||||||||2021-10-19||1||0||0.0||TRB||2025-05-12||P||0.33
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||tmp_respaldopatrimonio||||||||2024-07-01||19||0||0.0||TMP||2025-05-12||P||289.1
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||RESCATE_PARA_MC||||||||2021-07-15||175||9||0.051428||TRB||2025-05-12||P||1.82
1||ANALITICA||GYEINTNEGDB01||CONSULTA_EMPRESAS||dbo||GEO_REGION_BG||||||||2018-06-20||1||0||0.0||TRB||2025-05-12||P||0.04
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||DETALLE_COSECHAS_TC||||||||2021-11-11||65||4||0.061538||TRB||2025-05-12||P||118.06
1||ANALITICA||GYEINTNEGDB01||PROCESOS_BI||dbo||PENSIONES||||||||2024-02-01||3||0||0.0||TRB||2025-05-12||P||18.24
